source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
4657036200160503808,84.85186716949396,-71.05334064592073,RRab,0.586924472101008,0.23509616,0.007966337,0.11658358,0.012196661,0.07931215,0.013444784,4.2529383,0.086455435,2.4393668,0.29965195,-1.334426028160594,0.493820995104956,0.1305,0.07663126,18.38381337572497,0.8043156858045749
4651012835035363712,84.85202731855388,-71.54034654097099,RRab,0.5379788412321436,0.36215773,0.017708888,0.15027359,0.026530106,0.14739528,0.030460296,3.877831,0.1822168,2.1903992,0.3029205,-1.296807320838397,0.4668234832800911,0.099393,0.029590288,18.34422421151475,0.7667485261631403
4657028881584152448,84.85436446914403,-71.19265904093707,RRab,0.5652255254954789,0.38450408,0.020782584,0.1460095,0.023853695,0.07569053,0.025560277,4.0403605,0.2714564,1.9691751,0.3250115,-1.655977072499908,0.5145009870924038,0.105462,0.0569044,18.306759125179973,0.9159596434826957
4651011632351469568,84.85480393288887,-71.57421540444099,RRab,0.6097832406136531,0.30793402,0.0220837,0.14519383,0.020389916,0.10537231,0.0249879,4.0403767,0.26468754,1.8782862,0.3086993,-1.9887079574057744,0.4939272675467497,0.105462,0.033383913,18.47633277295362,0.9764158869124043
4651021046923305600,84.85796671838014,-71.40763172596114,RRab,0.5336162989976299,0.32237533,0.041345086,0.1416774,0.028904771,0.09266637,0.027470063,3.902273,0.20695893,1.5081276,0.39728606,-1.9139305154368456,0.5062357520132602,0.106221,0.049317144,18.619919124522315,0.9493361858665569
4657120038032815872,84.85974772647518,-70.61884205253786,RRab,0.700050827367109,0.23624429,0.014403616,0.12364794,0.017460557,0.050218448,0.012302543,4.3431883,0.13245402,2.5450325,0.38783935,-1.8629515418874547,0.5539783636104935,0.198027,0.07890744,18.02841971976849,0.9544204110071314
4650867634998724352,84.86030590267288,-72.34804342007995,RRab,0.5431928816814843,0.34640065,0.018325837,0.1326513,0.016205292,0.10075909,0.039087392,3.8850143,0.22100389,1.3149072,0.21537384,-2.1487077253322378,0.3897422132212113,0.106221,0.034142643,18.693228743293027,1.0246599811032029
4657062657205872896,84.86222837812298,-70.86873609641422,RRab,0.5586894384233141,0.34239745,0.044460926,0.1675209,0.048887003,0.10514956,0.031903174,3.9545681,0.16002342,1.7943846,0.27255064,-1.784004859249393,0.448737555897226,0.170713,0.06221548,18.79370194938983,0.933234984110906
4657782497973639808,84.86483552418197,-68.89449325956988,RRab,0.5295280823849479,0.31044757,0.018552165,0.14454076,0.012454871,0.096607044,0.014861609,3.7004397,0.09800006,1.7484487,0.19648752,-1.6653390792364609,0.3945498687962854,0.254173,0.17223065,18.24685767418621,0.978534100261278
4657223495254182528,84.86629153222586,-70.31359573690564,RRab,0.5297817684273416,0.35116223,0.019657126,0.11568124,0.018819258,0.09354755,0.032840356,4.1581817,0.26479197,1.7009726,0.20444857,-1.711374570771746,0.42145197738480294,0.206373,0.09180576,18.823323657016093,0.9266958021706128
