object_id,period,type,band,mean_mag,err_mag,chi_squared,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
496821137,0.502281,RRab,r,18.772683,0.228925,22.417091,-1.463652,0.446945,0.037177,0.043247,18.377908,0.813802
496821484,0.493715,RRab,r,19.120003,0.032806,3.164800,-1.346713,0.404509,0.036418,0.044765,18.459453,0.791158
496821664,0.563856,RRab,r,18.970487,0.023714,330.083003,-1.940998,0.414281,0.037936,0.043247,18.504666,0.963647
496822013,0.646284,RRab,r,19.218733,0.015822,6.849477,-1.571986,0.429618,0.034901,0.050076,18.508554,0.852971
496822537,0.506597,RRab,r,19.488538,0.959700,14.293634,-1.571677,0.384738,0.034901,0.050076,18.747250,0.857366
496834937,0.535134,RRab,r,19.075112,0.029791,28.987300,-1.651734,0.398964,0.044006,0.046282,18.464425,0.864209
496863438,0.648129,RRab,r,19.211970,0.049992,0.004299,-1.882653,0.425170,0.049317,0.053870,18.717876,0.946724
496872946,0.519078,RRab,r,19.713487,0.807597,9.020175,-1.690070,0.386305,0.065250,0.050835,18.771719,0.876501
496874447,0.590416,RRab,r,19.072894,0.130254,5.274466,-1.628760,0.406825,0.040212,0.040971,18.518515,0.859636
497102475,0.515539,RRab,r,19.676759,0.285516,3.838255,-1.284181,0.548586,0.104704,0.034143,18.723068,0.793841
497108420,0.612095,RRab,r,19.113597,0.099100,0.007560,-1.813476,0.517284,0.121396,0.037178,18.624263,0.933497
497110244,0.475654,RRab,r,19.552206,0.627951,4.657353,-1.116981,0.515328,0.115326,0.034901,18.470111,0.760362
497123189,0.741191,RRab,r,19.426997,0.022401,0.954101,-1.748533,0.531969,0.103945,0.034143,18.566848,0.888798
497134759,0.571167,RRab,r,19.323245,0.081424,0.317570,-1.040473,0.614116,0.088770,0.041730,18.415358,0.725694
497136199,0.580118,RRab,r,19.289652,0.208652,0.157528,-1.726448,0.497335,0.070561,0.028832,18.770695,0.882154
497136322,0.597714,RRab,r,19.047164,0.047467,0.742686,-2.650436,0.893455,0.084218,0.034901,18.831300,1.236795
497136615,0.605870,RRab,r,19.157335,0.513089,3.304156,-1.487937,0.515763,0.075113,0.031108,18.581248,0.850112
1563308207,0.611376,RRab,r,19.032995,0.077204,0.011661,-1.508141,0.417984,0.077389,0.027314,18.447792,0.825266
1563521394,0.555008,RRab,r,19.006228,0.054788,3.190706,-1.393177,0.559300,0.070561,0.039454,18.334647,0.814033
1563532758,0.617105,RRab,r,19.116079,0.050879,11.399377,-1.814984,0.439092,0.069802,0.040212,18.556052,0.915267
1563533239,0.552590,RRab,r,19.298654,0.063966,1.335424,-1.413489,0.489863,0.083459,0.037178,18.546088,0.818489
1563540729,0.600253,RRab,r,19.389121,0.026789,0.589885,-1.661212,0.471582,0.088012,0.031866,18.531874,0.877209
1563543085,0.677631,RRab,r,19.310637,0.015266,8.305261,-1.241080,0.486191,0.069044,0.034143,18.400470,0.753141
1563549010,0.540443,RRab,r,19.057652,0.055939,0.291964,-1.203277,0.483764,0.078907,0.028832,18.510551,0.766454
1563552012,0.634021,RRab,r,19.053176,0.145452,0.191921,-1.524312,0.452721,0.088012,0.028832,18.457140,0.833377
1563555289,0.582999,RRab,r,19.213064,0.069117,2.372014,-1.566229,0.576759,0.075113,0.032625,18.402410,0.889679
1563574058,0.583230,RRab,r,19.300390,0.054001,6.862790,-1.857184,0.433864,0.111532,0.036419,18.494616,0.920378
1563577508,0.623944,RRab,r,19.369541,0.029705,1.424456,-1.654810,0.414689,0.096358,0.032625,18.550970,0.861405
1563581457,0.636619,RRab,r,19.288402,0.061669,1.181718,-2.115200,0.423011,0.094840,0.032625,18.591603,1.003031
1563582654,0.556117,RRab,r,19.246629,0.021871,0.055219,-1.784006,0.427768,0.106980,0.025797,18.595751,0.896671
1563583646,0.477462,RRab,r,19.248385,0.076515,8.028949,-1.785381,0.372448,0.084977,0.034143,18.524402,0.908009
1563593792,0.616334,RRab,r,19.527627,0.021350,2.311287,-1.417289,0.447710,0.091047,0.040212,18.641563,0.812317
1563602697,0.341431,RRc,r,19.227064,0.067397,0.413161,-1.680620,0.348378,0.069044,0.034901,18.577548,0.880797
1563605227,0.585637,RRab,r,19.107479,0.017706,0.025462,-1.735849,0.400566,0.088770,0.016692,18.585270,0.896378
1563613882,0.593062,RRab,r,19.497873,0.081868,0.119208,-1.601406,0.426986,0.081942,0.025038,18.661572,0.850586
1563615393,0.529772,RRab,r,19.051819,0.339729,0.703544,-1.554323,0.409504,0.090288,0.018209,18.572037,0.839769
1563615617,0.575712,RRab,r,19.419860,0.092049,2.748024,-1.460154,0.545304,0.090288,0.018209,18.508246,0.828499
1563630992,0.489462,RRab,r,19.498866,0.508283,0.531093,-0.403683,0.607672,0.091805,0.029590,18.360809,0.631482
1563631182,0.498898,RRab,r,19.206451,0.053397,0.011405,-1.133914,0.790705,0.093323,0.028832,18.313975,0.772207
1563640317,0.657036,RRab,r,19.101624,0.044752,12.269269,-1.668432,0.504115,0.071320,0.037178,18.395787,0.892105
1563641222,0.557479,RRab,r,19.158400,1.049170,0.101785,-1.853083,0.402857,0.065250,0.033384,18.555979,0.922012
1563650747,0.611554,RRab,r,19.108183,0.016634,0.001930,-1.720481,0.430490,0.081183,0.045524,18.529142,0.879163
1563650988,0.590759,RRab,r,19.144422,0.852098,0.241011,-2.024188,0.442433,0.064491,0.031108,18.343980,0.998336
1563698712,0.512830,RRab,r,19.397086,0.022978,2.892566,-1.764554,1.084144,0.111532,0.022003,18.559747,1.068823
1563713040,0.540456,RRab,r,18.976842,0.762687,2.642976,-1.224424,0.405012,0.082701,0.016692,18.449574,0.726488
1602189746,0.527434,RRab,r,18.988062,0.047678,0.981009,-1.979530,0.407910,0.106221,0.030349,18.759711,0.956529
1602242541,0.522390,RRab,r,19.607526,0.031838,0.268668,-1.564342,0.433688,0.108497,0.046282,18.673528,0.854656
