#        1          2            3       4       5         6         7         8          9        10
#       RA         Dec        E(V-I)  -sigma  +sigma    (V-I)_RC  (V-I)_0  E(V-I)peak E(V-I)_SFD   box
#      [hr]       [deg]       median  [-34%]  [+34%]     median    [mag]      mode      [mag]    [arcmin]
    5.751130   -70.620758     0.205    0.103   0.155      1.091    0.886     0.151      0.809      3.4
    5.171439   -68.988213     0.107    0.066   0.087      0.993    0.886     0.088      1.893      3.4
    5.581759   -68.937416     0.253    0.108   0.111      1.140    0.888     0.257      1.549      3.4
    5.005168   -69.184113     0.092    0.056   0.057      0.976    0.884     0.098      0.361      3.4
    5.501792   -72.035873     0.107    0.046   0.052      0.991    0.884     0.109      0.129      3.4
    5.817555   -71.371948     0.140    0.051   0.053      1.024    0.884     0.143      0.166      3.4
    4.972182   -67.919151     0.129    0.045   0.055      1.012    0.883     0.122      0.386      3.4
    0.717775   -73.351624     0.079    0.066   0.076      0.948    0.869     0.086      0.295      3.4
    5.407297   -71.630577     0.122    0.081   0.120      1.007    0.885     0.085      0.481      3.4
    5.608559   -69.693321     0.152    0.087   0.126      1.040    0.888     0.125      4.048      3.4
    5.773317   -71.520027     0.167    0.053   0.062      1.051    0.884     0.166      0.232      3.4
    5.284208   -70.618919     0.090    0.031   0.024      0.976    0.886     0.095      0.233      3.4
    5.717440   -68.596893     0.117    0.057   0.058      1.003    0.886     0.124      0.509      3.4
    5.521616   -68.132805     0.138    0.067   0.074      1.025    0.886     0.138      0.750      3.4
    5.542648   -69.033691     0.212    0.092   0.088      1.100    0.888     0.226      1.069      3.4
    5.804342   -71.626877     0.137    0.054   0.058      1.020    0.884     0.144      0.170      3.4
    1.195122   -72.296082     0.061    0.022   0.028      0.923    0.862     0.061      0.124      3.4
    5.814383   -70.716171     0.117    0.054   0.051      1.002    0.885     0.127      0.242      3.4
    0.749626   -74.124535     0.042    0.044   0.032      0.904    0.862     0.053      0.082      3.4
    5.743777   -71.269653     0.190    0.062   0.070      1.075    0.885     0.196      0.370      3.4
    0.865755   -72.756073     0.095    0.072   0.071      0.971    0.876     0.099      0.587      3.4
    0.973930   -72.969627     0.065    0.062   0.060      0.937    0.871     0.072      0.241      3.4
    0.955359   -72.472542     0.079    0.068   0.063      0.951    0.872     0.090      0.519      3.4
    5.517313   -68.314285     0.372    0.107   0.153      1.259    0.887     0.377      1.111      3.4
    5.502264   -69.064278     0.107    0.068   0.053      0.995    0.888     0.120      0.772      3.4
    5.417834   -69.030426     0.090    0.063   0.063      0.979    0.888     0.106      0.978      3.4
    5.453463   -70.708717     0.083    0.055   0.050      0.969    0.887     0.087      0.321      3.4
    5.555959   -69.527565     0.111    0.042   0.044      0.999    0.889     0.117      0.914      3.4
    0.755894   -72.940353     0.036    0.054   0.051      0.908    0.872     0.039      0.262      3.4
    5.131340   -67.949554     0.072    0.062   0.057      0.956    0.884     0.086      0.315      3.4
    5.825076   -69.519913     0.189    0.093   0.084      1.074    0.886     0.208      0.589      3.4
    5.183605   -70.714478     0.087    0.048   0.059      0.973    0.885     0.098      0.183      3.4
    0.575071   -73.388718     0.062    0.027   0.032      0.926    0.864     0.057      0.068      3.4
    5.336308   -70.674828     0.106    0.058   0.060      0.992    0.886     0.117      0.414      3.4
    5.150754   -70.061806     0.083    0.051   0.049      0.969    0.886     0.089      0.406      3.4
    5.016500   -68.968994     0.165    0.082   0.106      1.049    0.884     0.154      0.759      3.4
    5.472441   -70.587059     0.060    0.050   0.055      0.947    0.887     0.060      0.386      3.4
    4.836927   -68.264236     0.118    0.074   0.073      1.000    0.882     0.122      0.280      3.4
    5.241212   -69.216751     0.088    0.080   0.098      0.975    0.887     0.086      1.399      3.4
    5.672504   -70.812950     0.238    0.092   0.126      1.124    0.886     0.203      0.878      3.4
    5.166903   -68.745026     0.095    0.059   0.075      0.981    0.885     0.099      1.628      3.4
    5.352548   -67.985031     0.182    0.099   0.135      1.068    0.886     0.188      2.603      3.4
    1.025738   -72.775436     0.038    0.053   0.052      0.907    0.870     0.040      0.168      3.4
    0.691597   -72.981850     0.058    0.045   0.041      0.927    0.869     0.062      0.200      3.4
    1.013312   -71.962196     0.053    0.051   0.062      0.920    0.867     0.052      0.321      3.4
    5.389978   -71.315292     0.110    0.046   0.059      0.995    0.885     0.094      0.413      3.4
    5.087037   -67.688431     0.085    0.061   0.060      0.969    0.883     0.092      0.344      3.4
